Brookline,4,4,3,4,3,5,4,4,4,4,4,3,4,4,5,4,3,4
George Wright,4,4,5,3,4,4,4,3,4,4,4,4,4,3,5,4,3,4
William J. Devine,4,4,4,3,4,4,4,3,4,4,5,4,3,4,3,4,4,5
Newton Commonwealth,4,5,3,3,5,4,3,5,3,4,4,3,4,4,5,3,4,4
The Meadow at Peabody,5,4,4,4,4,3,5,3,4,4,5,3,4,4,4,3,4,4
Leo J. Martin,4,5,3,5,3,4,4,4,4,3,4,3,4,4,4,5,3,5
Ponkapoag,4,3,5,4,4,4,4,3,5,4,5,3,5,4,4,3,4,4
Brookmeadow Country Club,4,4,4,3,4,3,4,5,5,4,3,5,4,4,3,5,4,4
Braintree Municipal,4,4,3,4,3,5,4,5,4,5,4,3,5,4,4,3,4,4
South Shore Country Club,4,3,5,4,4,4,4,3,5,4,3,4,4,4,5,4,3,5
